"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Description 3","Meta Description 3 Length","Meta Description 3 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://bestpsychicsadashiva.com/","text/html; charset=UTF-8","200","OK","Indexable","","Psychic Sada Shiva – Private Spiritual Guidance in Hartford","59","522","Psychic Sada Shiva","18","172","One-on-one psychic and spiritual guidance with Psychic Sada Shiva in Hartford, CT. Calm, confidential support for relationships, career choices, and life clarity.","162","979","Psychic Sada Shiva – Psychic & Spiritual Guidance in Hartford, CT","65","406","Psychic Sada Shiva offers confidential psychic and spiritual guidance in Hartford, CT. 7+ Years Experience. Private sessions available online or by appointment. Phone: +1(860) 888-7845.","185","1151","","0","Psychic & Spiritual Guidance for Peace, Direction & Confident Next Steps","72","Find Guidance & Readings in Your State","38","How the Consultation Works","26","index, follow","index, follow","","","","","","","","","105190","35843","35843","13.731","","868","185","4.692","58.604","Fairly Hard","6.621","0","0","","1","1","0","3.450","65","21","0","0","0","0","","","","","4bfd28400a7d5a414c412f5f131089fa","0.832","","","","","en","1.1","","","","","","https://bestpsychicsadashiva.com/","2026-03-06 09:03:42"
"https://bestpsychicsadashiva.com/assets/js/hero.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","1339","1339","1339","0.513","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.882","Mon, 12 Jan 2026 07:37:34 GMT","","","","","1.1","","","","","","https://bestpsychicsadashiva.com/assets/js/hero.js","2026-03-06 09:03:47"
"https://bestpsychicsadashiva.com/images/ohio.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","12286","12286","12286","4.707","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.889","Fri, 19 Dec 2025 18:42:09 GMT","","","","","1.1","","","","","","https://bestpsychicsadashiva.com/images/ohio.webp","2026-03-06 09:03:47"
"https://bestpsychicsadashiva.com/assets/js/header.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","1403","1403","1403","0.537","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.911","Wed, 07 Jan 2026 05:59:14 GMT","","","","","1.1","","","","","","https://bestpsychicsadashiva.com/assets/js/header.js","2026-03-06 09:03:47"
"https://bestpsychicsadashiva.com/services.php?state=Connecticut","text/html; charset=UTF-8","200","OK","Indexable","","Psychic Sada Shiva","18","172","Astrology Services in Connecticut | Love, Marriage & Career Solutions","69","611","Psychic Sada Shiva – Psychic & Spiritual Guidance in Hartford, CT","65","406","Discover expert astrology services in Connecticut including love problem solutions, marriage guidance, career astrology and spiritual remedies.","143","883","","0","0","","0","Astrology Services in Connecticut","33","Witchcraft Removal","18","Negative Energy Removal","23","","","","","","","","","","","101185","13687","13687","5.243","","298","49","6.082","33.165","Hard","3.228","1","0","","60","29","0","100.000","56","28","0","0","0","0","","","","","41114c24ca8fc494f849b8e2a9dc7880","0.964","","","","","en","1.1","","","","","","https://bestpsychicsadashiva.com/services.php?state=Connecticut","2026-03-06 09:03:47"
"https://bestpsychicsadashiva.com/assets/css/hero.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","2221","2221","2221","0.851","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.697","Tue, 13 Jan 2026 05:13:15 GMT","","","","","1.1","","","","","","https://bestpsychicsadashiva.com/assets/css/hero.css","2026-03-06 09:03:48"
"https://bestpsychicsadashiva.com/images/connecticut.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","11106","11106","11106","4.254","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.715","Fri, 19 Dec 2025 18:42:09 GMT","","","","","1.1","","","","","","https://bestpsychicsadashiva.com/images/connecticut.webp","2026-03-06 09:03:48"
"https://bestpsychicsadashiva.com/images/pennsylvania.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","11214","11214","11214","4.296","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","2.316","Fri, 19 Dec 2025 18:42:09 GMT","","","","","1.1","","","","","","https://bestpsychicsadashiva.com/images/pennsylvania.webp","2026-03-06 09:03:47"
"https://bestpsychicsadashiva.com/images/florida.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","15548","15548","15548","5.956","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.732","Fri, 19 Dec 2025 18:42:09 GMT","","","","","1.1","","","","","","https://bestpsychicsadashiva.com/images/florida.webp","2026-03-06 09:03:49"
"https://bestpsychicsadashiva.com/images/illinois.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","15968","15968","15968","6.117","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.724","Fri, 19 Dec 2025 18:42:09 GMT","","","","","1.1","","","","","","https://bestpsychicsadashiva.com/images/illinois.webp","2026-03-06 09:03:50"
